timestamp,Data Point,980-data
2023-09-22 22:46:10,800,180
2023-09-22 22:46:11,806,174
2023-09-22 22:46:12,809,171
2023-09-22 22:46:13,807,173
2023-09-22 22:46:14,813,167
2023-09-22 22:46:15,819,161
2023-09-22 22:46:16,825,155
2023-09-22 22:46:17,815,165
2023-09-22 22:46:18,821,159
2023-09-22 22:46:19,819,161
2023-09-22 22:46:20,818,162
2023-09-22 22:46:21,821,159
2023-09-22 22:46:22,829,151
2023-09-22 22:46:23,830,150
2023-09-22 22:46:24,829,151
2023-09-22 22:46:25,839,141
2023-09-22 22:46:26,840,140
2023-09-22 22:46:27,839,141
2023-09-22 22:46:28,832,148
2023-09-22 22:46:29,834,146
2023-09-22 22:46:30,825,155
2023-09-22 22:46:31,827,153
2023-09-22 22:46:32,830,150
2023-09-22 22:46:33,840,140
2023-09-22 22:46:34,843,137
2023-09-22 22:46:35,848,132
2023-09-22 22:46:36,843,137
2023-09-22 22:46:37,846,134
2023-09-22 22:46:38,840,140
2023-09-22 22:46:39,832,148
2023-09-22 22:46:40,835,145
2023-09-22 22:46:41,833,147
2023-09-22 22:46:42,840,140
2023-09-22 22:46:43,849,131
2023-09-22 22:46:44,845,135
2023-09-22 22:46:45,849,131
2023-09-22 22:46:46,849,131
2023-09-22 22:46:47,847,133
2023-09-22 22:46:48,856,124
2023-09-22 22:46:49,847,133
2023-09-22 22:46:50,856,124
2023-09-22 22:46:51,861,119
2023-09-22 22:46:52,864,116
2023-09-22 22:46:53,863,117
2023-09-22 22:46:54,855,125
2023-09-22 22:46:55,864,116
2023-09-22 22:46:56,874,106
2023-09-22 22:46:57,880,100
2023-09-22 22:46:58,870,110
2023-09-22 22:46:59,866,114
2023-09-22 22:47:00,867,113
2023-09-22 22:47:01,862,118
2023-09-22 22:47:02,872,108
2023-09-22 22:47:03,874,106
2023-09-22 22:47:04,869,111
2023-09-22 22:47:05,863,117
2023-09-22 22:47:06,862,118
2023-09-22 22:47:07,865,115
2023-09-22 22:47:08,873,107
2023-09-22 22:47:09,867,113
2023-09-22 22:47:10,875,105
2023-09-22 22:47:11,866,114
2023-09-22 22:47:12,857,123
2023-09-22 22:47:13,866,114
2023-09-22 22:47:14,875,105
2023-09-22 22:47:15,879,101
2023-09-22 22:47:16,873,107
2023-09-22 22:47:17,869,111
2023-09-22 22:47:18,868,112
2023-09-22 22:47:19,874,106
2023-09-22 22:47:20,878,102
2023-09-22 22:47:21,882,98
2023-09-22 22:47:22,890,90
2023-09-22 22:47:23,898,82
2023-09-22 22:47:24,889,91
2023-09-22 22:47:25,884,96
2023-09-22 22:47:26,888,92
2023-09-22 22:47:27,882,98
2023-09-22 22:47:28,872,108
2023-09-22 22:47:29,869,111
2023-09-22 22:47:30,859,121
2023-09-22 22:47:31,869,111
2023-09-22 22:47:32,867,113
2023-09-22 22:47:33,876,104
2023-09-22 22:47:34,872,108
2023-09-22 22:47:35,869,111
2023-09-22 22:47:36,865,115
2023-09-22 22:47:37,866,114
2023-09-22 22:47:38,859,121
2023-09-22 22:47:39,861,119
2023-09-22 22:47:40,857,123
2023-09-22 22:47:41,858,122
2023-09-22 22:47:42,856,124
2023-09-22 22:47:43,856,124
