timestamp,Data Point,980-data
2023-09-22 22:46:10,800,180
2023-09-22 22:46:11,808,172
2023-09-22 22:46:12,817,163
2023-09-22 22:46:13,825,155
2023-09-22 22:46:14,817,163
2023-09-22 22:46:15,816,164
2023-09-22 22:46:16,815,165
2023-09-22 22:46:17,817,163
2023-09-22 22:46:18,816,164
2023-09-22 22:46:19,823,157
2023-09-22 22:46:20,814,166
2023-09-22 22:46:21,823,157
2023-09-22 22:46:22,831,149
2023-09-22 22:46:23,841,139
2023-09-22 22:46:24,839,141
2023-09-22 22:46:25,834,146
2023-09-22 22:46:26,834,146
2023-09-22 22:46:27,832,148
2023-09-22 22:46:28,841,139
2023-09-22 22:46:29,846,134
2023-09-22 22:46:30,851,129
2023-09-22 22:46:31,849,131
2023-09-22 22:46:32,858,122
2023-09-22 22:46:33,868,112
2023-09-22 22:46:34,867,113
2023-09-22 22:46:35,874,106
2023-09-22 22:46:36,882,98
2023-09-22 22:46:37,876,104
2023-09-22 22:46:38,873,107
2023-09-22 22:46:39,879,101
2023-09-22 22:46:40,886,94
2023-09-22 22:46:41,884,96
2023-09-22 22:46:42,876,104
2023-09-22 22:46:43,886,94
2023-09-22 22:46:44,890,90
2023-09-22 22:46:45,883,97
2023-09-22 22:46:46,889,91
2023-09-22 22:46:47,889,91
2023-09-22 22:46:48,889,91
2023-09-22 22:46:49,893,87
2023-09-22 22:46:50,884,96
2023-09-22 22:46:51,887,93
2023-09-22 22:46:52,883,97
2023-09-22 22:46:53,890,90
2023-09-22 22:46:54,897,83
2023-09-22 22:46:55,893,87
2023-09-22 22:46:56,885,95
2023-09-22 22:46:57,881,99
2023-09-22 22:46:58,886,94
2023-09-22 22:46:59,887,93
2023-09-22 22:47:00,884,96
2023-09-22 22:47:01,885,95
2023-09-22 22:47:02,892,88
2023-09-22 22:47:03,882,98
2023-09-22 22:47:04,880,100
2023-09-22 22:47:05,887,93
2023-09-22 22:47:06,885,95
2023-09-22 22:47:07,876,104
2023-09-22 22:47:08,868,112
2023-09-22 22:47:09,860,120
2023-09-22 22:47:10,854,126
2023-09-22 22:47:11,847,133
2023-09-22 22:47:12,838,142
2023-09-22 22:47:13,836,144
2023-09-22 22:47:14,843,137
